source,target,count
4194,18,2
4193,4978,1
4562,4970,3
255,46,1
4506,211,1
3966,198,1
4297,4706,1
4783,266,1
6000,4832,2
2927,31,1
5303,4832,3
4458,69,1
4266,211,1
4617,4372,3
4266,198,1
5483,31,1
4354,266,1
312,18,1
34,208,10
264,182,1
376,198,1
219,220,6
264,187,1
83,169,1
4133,198,1
3942,198,1
5434,198,6
60,211,1
30,4228,2
4592,198,4
4614,18,1
5784,5785,3
264,323,1
4329,81,1
4462,198,3
4129,198,1
225,69,1
83,311,7
22,23,108
296,31,1
4191,3908,1
4952,211,1
4322,266,1
3937,81,1
4613,31,1
4455,69,1
778,198,1
3928,31,1
4354,81,3
26,55,13
26,56,4
4593,266,3
4431,198,1
4519,198,2
4347,31,1
4542,198,1
4005,211,1
61,165,9
61,166,11
83,146,1
4643,4228,4
5811,18,1
4218,31,1
4375,198,1
206,266,1
26,27,9
4448,198,2
3964,198,6
34,242,6
4297,5439,5
304,198,2
46,47,12
5995,4832,1
3973,81,1
3939,198,1
4081,198,1
4117,211,1
711,295,1
4374,198,1
56,27,10
3806,211,1
5613,465,1
4605,69,1
34,202,10
4322,75,1
5573,266,1
6001,6002,11
4778,266,1
61,196,9
5382,198,2
30,75,1
4832,6000,1
313,295,2
5483,81,1
4510,46,9
65,40,21
4450,69,1
167,168,5
4285,31,1
4597,266,1
4223,31,1
225,226,1
4528,198,1
4379,31,1
4603,226,3
5963,198,2
270,69,1
264,204,1
375,75,3
4779,46,5
4329,266,1
5335,4832,1
4478,18,7
5338,211,1
4537,81,1
4641,31,1
4584,266,1
24,25,33
4500,31,1
5195,4832,1
176,177,3
333,4683,1
3976,81,1
5179,4832,1
4455,31,1
4879,2342,1
5991,4832,1
26,68,2
151,207,11
210,69,1
26,62,12
54,165,7
54,166,10
3940,198,2
4018,31,1
4098,198,1
4950,211,1
83,190,1
5014,211,1
4494,69,1
4502,198,1
5373,18,1
193,27,10
4656,75,1
83,346,1
43,44,1
34,172,2
4191,75,1
28,287,1
307,508,4
4615,75,1
4577,211,1
4569,211,1
4193,827,6
4379,75,1
333,198,1
4296,81,1
3802,3814,1
4016,81,2
3931,211,1
4204,266,1
4527,31,1
323,69,2
4200,81,1
5263,5429,2
117,27,5
4689,5482,4
4439,266,1
66,67,74
194,27,13
4455,198,5
299,31,1
5608,198,1
185,27,6
320,198,4
46,4634,4
54,68,3
4356,2455,1
66,205,23
54,62,11
4601,198,4
4022,4422,4
4430,266,1
4643,5782,1
4627,266,1
59,27,6
45,27,10
325,326,2
931,368,1
5723,5181,1
26,178,3
61,178,3
5189,4832,1
4832,5173,1
4195,198,1
46,118,136
4537,266,1
5014,31,1
5993,4832,2
3909,31,1
30,198,6
61,68,2
26,196,8
4916,75,1
52,69,2
61,62,11
5955,81,2
49,27,8
4524,198,4
151,68,8
4647,198,1
55,27,10
163,27,8
4664,211,1
273,27,12
5483,198,1
3805,31,1
294,81,1
3913,18,1
34,35,8
5003,325,48
34,38,6
736,737,2
5053,18,3
4291,198,2
4590,266,1
151,62,9
3951,198,4
4611,211,1
34,224,10
34,227,55
864,865,1
34,228,9
4476,198,1
4379,266,1
3935,295,18
4578,198,1
4170,4418,3
4578,31,1
4114,198,1
4558,198,1
4356,1559,1
4604,31,1
3935,198,2
83,330,21
54,27,6
4523,5723,1
4559,18,1
5996,4832,1
4454,198,1
3937,75,3
283,198,7
4784,211,1
83,114,1
4477,198,3
4906,266,1
22,370,1
4778,793,1
54,55,19
4597,31,1
54,56,7
4747,6004,1
335,211,1
4747,6003,3
61,27,11
4152,69,1
4664,31,1
4641,198,2
151,27,5
4469,211,1
54,178,7
4313,266,1
307,3740,7
4100,31,1
5444,198,3
4216,198,1
4437,266,1
4353,198,4
4442,31,1
5063,4696,1
4618,295,1
4404,69,1
5754,266,1
4906,81,1
4354,198,1
4584,81,1
151,56,12
167,27,6
151,55,9
5783,31,1
4664,266,1
4025,198,1
247,69,10
3783,198,1
73,27,8
3851,211,1
4309,31,1
4419,266,2
4145,198,3
21,5,6
5079,325,1
4374,69,1
4547,46,6
358,177,2
353,5,1
4005,31,1
5162,4832,1
4223,4319,1
212,213,1
5988,46,5
275,27,12
4783,211,1
3906,3908,2
48,27,8
4611,81,1
4558,31,1
4371,266,1
421,538,1
4559,198,1
4537,198,3
5994,4832,1
4365,31,1
4554,198,1
292,27,12
5989,976,2
68,27,8
151,165,8
233,168,4
151,166,7
230,27,8
4627,31,1
4405,69,1
4195,4372,12
4907,198,1
4584,4422,5
4035,266,2
3933,3938,6
231,232,1
3997,3998,1
116,27,5
182,264,1
4603,5048,1
26,166,10
26,165,4
4496,4832,1
4659,211,1
4313,198,1
4597,198,1
4193,4387,17
337,198,1
42,201,5
4716,4832,1
4313,31,1
4439,198,6
334,198,1
5992,1771,1
3896,295,1
4442,81,1
61,207,6
4370,198,1
4761,81,1
151,196,7
4971,4898,1
4443,198,1
4520,198,3
4435,266,1
26,5224,2
4557,4832,2
4666,31,1
4071,198,1
233,27,5
83,302,145
5444,31,1
4175,198,1
155,2,1
3974,31,1
320,31,2
179,180,13
3834,211,1
4262,211,1
4262,198,2
4592,211,1
5999,4832,1
3919,198,1
64,27,12
4479,198,1
3929,198,1
4356,3865,1
4100,198,1
4266,75,1
4298,198,1
433,198,1
4635,31,1
338,266,1
5725,226,1
4948,46,12
3937,266,1
5990,4308,1
307,3599,4
4952,198,1
4441,198,1
4435,198,1
4500,226,1
5581,198,1
4317,31,1
4376,4228,2
188,189,48
4006,211,1
33,27,9
54,207,10
4560,198,1
34,250,6
206,75,1
151,256,1
4322,198,1
191,192,18
54,196,8
4220,211,1
4618,198,1
4618,211,1
249,27,12
30,266,4
4247,198,1
26,207,7
320,69,1
5984,46,24
4246,81,1
4187,232,1
5997,4832,3
83,340,17
5052,46,2
4518,31,1
4382,198,1
3937,198,3
225,31,1
3986,211,1
5608,211,1
83,555,1
4297,198,1
5998,4832,1
5974,1310,1
5131,4832,1
5491,5859,1
4019,4228,7
3973,211,1
4296,31,1
32,27,8
4450,75,2
4281,18,1
4601,3857,3
4544,211,1
151,178,4
4635,4682,1
5175,4832,6
4546,295,1
4548,3520,2
34,186,6
4778,31,1
3983,198,1
4200,31,1
4606,226,1
5755,5756,3
4278,198,1
5317,5722,1
4592,75,1
5340,4832,1
5350,4832,1
225,81,1
5671,26,6
34,113,10
5100,31,1
4477,18,1
5852,3961,1
239,27,3
4371,81,1
4694,266,1
